id,budget,algorithm,im,avgDist,optTime,execTime
3-11.json,7000,NAIVE,222.55222915385102,0.6376811594202906,14,147
3-11.json,7000,TAP,228.85113328200913,0.5893719806763295,67,123
3-11.json,8000,NAIVE,222.55222915385102,0.6328502415458944,12,126
3-11.json,8000,TAP,228.85113328200913,0.6449275362318849,66,131
3-11.json,9000,NAIVE,222.55222915385102,0.6449275362318849,13,138
3-11.json,9000,TAP,228.85113328200913,0.6231884057971021,73,142
3-11.json,10000,NAIVE,222.55222915385102,0.6183574879227061,14,143
3-11.json,10000,TAP,228.85113328200913,0.6521739130434792,63,123
3-13.json,1000,NAIVE,191.47428276282494,0.4975845410628027,21,2554
3-13.json,1000,TAP,218.04622958020778,0.5966183574879236,188,758
3-13.json,2000,NAIVE,224.64309510151423,0.6376811594202908,47,273
3-13.json,2000,TAP,231.01073088732377,0.6280193236714985,213,205
3-13.json,3000,NAIVE,224.64309510151423,0.6062801932367157,32,135
3-13.json,3000,TAP,231.01073088732377,0.6376811594202908,99,140
3-13.json,4000,NAIVE,224.64309510151423,0.6231884057971023,17,137
3-13.json,4000,TAP,231.01073088732377,0.6521739130434794,102,141
3-13.json,5000,NAIVE,224.64309510151423,0.6521739130434788,16,135
3-13.json,5000,TAP,231.01073088732377,0.6473429951690826,99,146
3-13.json,6000,NAIVE,224.64309510151423,0.6425120772946871,17,136
3-13.json,6000,TAP,231.01073088732377,0.6231884057971027,100,141
3-13.json,7000,NAIVE,224.64309510151423,0.6352657004830927,17,141
3-13.json,7000,TAP,231.01073088732377,0.6521739130434793,109,155
3-13.json,8000,NAIVE,224.64309510151423,0.6376811594202905,18,141
3-13.json,8000,TAP,231.01073088732377,0.6473429951690829,97,140
3-13.json,9000,NAIVE,224.64309510151423,0.618357487922706,16,131
3-13.json,9000,TAP,231.01073088732377,0.61352657004831,98,149
3-13.json,10000,NAIVE,224.64309510151423,0.6376811594202905,17,130
3-13.json,10000,TAP,231.01073088732377,0.652173913043479,99,151
3-14.json,1000,NAIVE,47.30205153780727,0.106280193236715,2,406
3-14.json,1000,TAP,108.45095059225216,0.30434782608695665,70,774
3-14.json,2000,NAIVE,74.47918076634501,0.17874396135265702,12,60
3-14.json,2000,TAP,196.1312614093169,0.6111111111111117,85,1129
3-14.json,3000,NAIVE,101.5731961500866,0.2608695652173916,19,36
3-14.json,3000,TAP,196.1312614093169,0.618357487922706,47,63
3-14.json,4000,NAIVE,128.7221732589192,0.35748792270531415,4,37
3-14.json,4000,TAP,196.1312614093169,0.618357487922706,49,60
3-14.json,5000,NAIVE,149.05093163354655,0.4009661835748798,5,43
3-14.json,5000,TAP,196.1312614093169,0.6183574879227055,45,62
3-14.json,6000,NAIVE,149.05093163354655,0.42028985507246397,5,43
3-14.json,6000,TAP,196.1312614093169,0.6207729468599037,39,57
3-14.json,7000,NAIVE,149.05093163354655,0.4154589371980678,5,41
3-14.json,7000,TAP,196.1312614093169,0.6086956521739135,38,60
3-14.json,8000,NAIVE,149.05093163354655,0.4106280193236719,5,44
3-14.json,8000,TAP,196.1312614093169,0.6135265700483095,37,64
3-14.json,9000,NAIVE,149.05093163354655,0.4009661835748797,5,43
3-14.json,9000,TAP,196.1312614093169,0.6086956521739132,37,59
3-14.json,10000,NAIVE,149.05093163354655,0.42512077294686,5,43
3-14.json,10000,TAP,196.1312614093169,0.6256038647342996,37,59
3-15.json,1000,NAIVE,19.90069733653173,0.036231884057971064,2,14
3-15.json,1000,TAP,72.28188893413652,0.13526570048309228,36,612
3-15.json,2000,NAIVE,33.18904914569145,0.06763285024154597,3,22
3-15.json,2000,TAP,106.20675307500697,0.27536231884057993,52,1575
3-15.json,3000,NAIVE,46.38740671663355,0.09178743961352664,5,29
3-15.json,3000,TAP,160.45065756593638,0.46618357487922724,75,2340
3-15.json,4000,NAIVE,59.78598984554613,0.14492753623188437,5,63
3-15.json,4000,TAP,231.98536911451444,0.5990338164251215,104,2163
3-15.json,5000,NAIVE,66.52248370412714,0.1618357487922708,6,80
3-15.json,5000,TAP,231.98536911451444,0.5990338164251217,86,492
3-15.json,6000,NAIVE,79.93998157412196,0.21256038647343023,4,86
3-15.json,6000,TAP,231.98536911451444,0.5700483091787452,89,483
3-15.json,7000,NAIVE,93.41657308372714,0.24396135265700503,5,97
3-15.json,7000,TAP,231.98536911451444,0.5966183574879237,87,474
3-15.json,8000,NAIVE,100.18036769930328,0.26086956521739135,5,123
3-15.json,8000,TAP,231.98536911451444,0.5845410628019331,86,467
3-15.json,9000,NAIVE,113.54557248747724,0.3212560386473431,6,137
3-15.json,9000,TAP,231.98536911451444,0.5942028985507255,86,460
3-15.json,10000,NAIVE,120.26549220141528,0.3623188405797104,6,144
3-15.json,10000,TAP,231.98536911451444,0.5893719806763293,91,462
4-16.json,1000,NAIVE,13.716063534935074,0.021739130434782594,1,639
4-16.json,1000,TAP,61.42934288551989,0.15458937198067635,30,630
4-16.json,2000,NAIVE,27.471913740449445,0.050724637681159424,1,13
