id,budget,algorithm,im,avgDist,optTime,execTime,candidates,nbExecuted,reoptGood,reoptBad;
2-07.json,5000,TAP,330.28564564255436,0.659420289855074,215,705,56,56,56,0
2-08.json,500,NAIVE,37.384058648180705,0.02898550724637694,11,159,56,6,0,0
2-08.json,500,TAP,62.14632767599245,0.07246376811594235,105,394,56,10,7,3
2-08.json,1000,NAIVE,68.63489718254229,0.11594202898550754,27,398,56,11,0,0
2-08.json,1000,TAP,112.66534133469706,0.2512077294685995,185,726,56,18,11,7
2-08.json,1500,NAIVE,93.75629572860022,0.23188405797101497,23,220,56,15,0,0
2-08.json,1500,TAP,194.34795961274673,0.5555555555555562,347,1097,56,31,18,13
2-08.json,2000,NAIVE,125.1720755496875,0.3236714975845417,23,244,56,20,0,0
2-08.json,2000,TAP,333.83016537277587,0.6521739130434798,505,1426,56,54,29,25
2-08.json,2500,NAIVE,156.5507427466395,0.39613526570048374,19,293,56,25,0,0
2-08.json,2500,TAP,345.87161024093535,0.6570048309178758,448,626,56,56,40,16
2-08.json,3000,NAIVE,181.7490708364881,0.5241545893719813,26,303,56,29,0,0
2-08.json,3000,TAP,345.87161024093535,0.6594202898550742,453,592,56,56,42,14
2-08.json,4000,NAIVE,219.43643912526102,0.6521739130434789,25,381,56,35,0,0
2-08.json,4000,TAP,345.87161024093535,0.6425120772946877,442,595,56,56,47,9
2-08.json,5000,NAIVE,219.43643912526102,0.6376811594202905,25,371,56,35,0,0
2-08.json,5000,TAP,345.87161024093535,0.6521739130434802,367,667,56,56,53,3
2-09.json,500,NAIVE,27.363794950546442,0.08695652173913049,6,179,38,4,0,0
2-09.json,500,TAP,54.59297658257662,0.1811594202898552,96,362,38,8,6,2
2-09.json,1000,NAIVE,54.8664202334613,0.17391304347826098,21,107,38,8,0,0
2-09.json,1000,TAP,109.89816911654403,0.3743961352657006,151,724,38,16,9,7
2-09.json,1500,NAIVE,82.28804089585117,0.28260869565217395,15,254,38,12,0,0
2-09.json,1500,TAP,219.1875016628189,0.7391304347826091,292,1149,38,32,19,13
2-09.json,2000,NAIVE,109.87916770692719,0.38164251207729494,27,178,38,16,0,0
2-09.json,2000,TAP,258.777090185533,0.8454106280193245,267,678,38,38,27,11
2-09.json,2500,NAIVE,137.41155124810302,0.4613526570048312,22,218,38,20,0,0
2-09.json,2500,TAP,258.777090185533,0.8031400966183582,242,417,38,38,29,9
2-09.json,3000,NAIVE,158.07552053475834,0.5217391304347829,17,297,38,23,0,0
2-09.json,3000,TAP,258.777090185533,0.8297101449275367,242,414,38,38,31,7
2-09.json,4000,NAIVE,199.39270740146188,0.632850241545894,21,357,38,29,0,0
2-09.json,4000,TAP,258.777090185533,0.8224637681159428,248,433,38,38,35,3
2-09.json,5000,NAIVE,199.39270740146188,0.6231884057971016,23,345,38,29,0,0
