session,candidateSize,budget,algo,planSize,executedSize,im,avgDist,optiTime,execTime,reoptGood,reoptBad,imOfOPT
data/ssb_converted/explorative.xml_4,5,8000,OPT,2,2,10.192596980903101,0.0222222222222222,17,47,0,0,1
data/ssb_converted/explorative.xml_4,5,8000,NAIVE,5,3,15.39455529628126,0.03703703703703698,0.0637,71,0,0,0.8436040506913373
data/ssb_converted/explorative.xml_4,5,8000,TAP,5,5,25.500802651400175,0.04222222222222216,3,118,5,0,1.397414865098325
data/ssb_converted/explorative.xml_4,5,9000,OPT,3,3,15.39455529628126,0.03333333333333329,18,70,0,0,1
data/ssb_converted/explorative.xml_4,5,9000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0785,69,0,0,1.0613091977110642
data/ssb_converted/explorative.xml_4,5,9000,TAP,5,5,25.500802651400175,0.039999999999999945,2,121,5,0,1.7580395069601906
data/ssb_converted/explorative.xml_4,5,10000,OPT,4,4,20.454795450222296,0.036111111111111066,9,93,0,0,1
data/ssb_converted/explorative.xml_4,5,10000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0762,69,0,0,0.8242528712368189
data/ssb_converted/explorative.xml_4,5,10000,TAP,5,5,25.500802651400175,0.04444444444444442,2,350,5,0,1.3653599860294439
data/ssb_converted/explorative.xml_5,6,1000,OPT,4,4,17.91978078346343,0.036111111111111066,52,89,0,0,1
data/ssb_converted/explorative.xml_5,6,1000,NAIVE,6,6,26.691329846665333,0.046296296296296224,0.1828,157,0,0,1.5823555685571276
data/ssb_converted/explorative.xml_5,6,1000,TAP,6,6,26.691329846665333,0.04444444444444438,4,138,6,0,1.5823555685571276
data/ssb_converted/explorative.xml_5,6,2000,OPT,3,3,13.400138652814668,0.03703703703703698,71,70,0,0,1
data/ssb_converted/explorative.xml_5,6,2000,NAIVE,6,6,26.691329846665333,0.04814814814814814,0.1184,134,0,0,1.976307149392627
data/ssb_converted/explorative.xml_5,6,2000,TAP,6,6,26.691329846665333,0.04629629629629626,3,135,6,0,1.976307149392627
data/ssb_converted/explorative.xml_5,6,3000,OPT,3,3,13.486611957635294,0.03333333333333329,69,67,0,0,1
data/ssb_converted/explorative.xml_5,6,3000,NAIVE,6,6,26.691329846665333,0.04444444444444442,0.0912,134,0,0,1.6502985332996716
data/ssb_converted/explorative.xml_5,6,3000,TAP,6,6,26.691329846665333,0.0462962962962963,2,136,6,0,1.6502985332996716
data/ssb_converted/explorative.xml_5,6,4000,OPT,5,5,22.329578393364343,0.04444444444444438,72,113,0,0,1
