session,candidateSize,budget,algo,planSize,executedSize,im,avgDist,optiTime,execTime,reoptGood,reoptBad
data/ssb_converted/explorative.xml_4,5,2000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,73,0,0
data/ssb_converted/explorative.xml_4,5,2000,TAP,2,5,10.268034071634219,0.027777777777777735,1,47,0,2
data/ssb_converted/explorative.xml_4,5,3000,OPT,4,4,20.454797014358572,0.038888888888888834,16,97,0,0
data/ssb_converted/explorative.xml_4,5,3000,NAIVE,5,3,15.394556513455344,0.03703703703703698,0,309,0,0
data/ssb_converted/explorative.xml_4,5,3000,TAP,2,5,10.268034071634219,0.027777777777777735,0,53,0,2
data/ssb_converted/explorative.xml_4,5,4000,OPT,2,2,10.192597708591698,0.0222222222222222,14,47,0,0
data/ssb_converted/explorative.xml_4,5,4000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,72,0,0
data/ssb_converted/explorative.xml_4,5,4000,TAP,2,5,10.268034071634219,0.027777777777777735,0,49,0,2
data/ssb_converted/explorative.xml_4,5,5000,OPT,3,3,15.394556513455344,0.03333333333333329,15,71,0,0
data/ssb_converted/explorative.xml_4,5,5000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,74,0,0
data/ssb_converted/explorative.xml_4,5,5000,TAP,2,5,10.262199305766874,0.027777777777777735,0,50,0,2
data/ssb_converted/explorative.xml_4,5,6000,OPT,2,2,10.258879649509595,0.0222222222222222,16,48,0,0
data/ssb_converted/explorative.xml_4,5,6000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,72,0,0
data/ssb_converted/explorative.xml_4,5,6000,TAP,2,5,10.268034071634219,0.027777777777777735,0,49,0,2
data/ssb_converted/explorative.xml_4,5,7000,OPT,3,3,15.319120150412825,0.0296296296296296,17,70,0,0
data/ssb_converted/explorative.xml_4,5,7000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,98,0,0
data/ssb_converted/explorative.xml_4,5,7000,TAP,2,5,10.268034071634219,0.027777777777777735,0,46,0,2
data/ssb_converted/explorative.xml_4,5,8000,OPT,5,5,25.500804609658395,0.04222222222222216,15,118,0,0
data/ssb_converted/explorative.xml_4,5,8000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,71,0,0
data/ssb_converted/explorative.xml_4,5,8000,TAP,2,5,10.262199305766874,0.027777777777777735,0,48,0,2
data/ssb_converted/explorative.xml_4,5,9000,OPT,4,4,20.454797014358572,0.038888888888888834,16,96,0,0
data/ssb_converted/explorative.xml_4,5,9000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,74,0,0
data/ssb_converted/explorative.xml_4,5,9000,TAP,2,5,10.268034071634219,0.027777777777777735,0,47,0,2
data/ssb_converted/explorative.xml_4,5,10000,OPT,4,4,20.454797014358572,0.038888888888888834,17,100,0,0
data/ssb_converted/explorative.xml_4,5,10000,NAIVE,5,3,15.394556513455344,0.03333333333333329,0,71,0,0
data/ssb_converted/explorative.xml_4,5,10000,TAP,2,5,10.268034071634219,0.027777777777777735,0,47,0,2
data/ssb_converted/explorative.xml_5,6,1000,OPT,5,5,22.281533875650627,0.04222222222222216,140,740,0,0
data/ssb_converted/explorative.xml_5,6,1000,NAIVE,6,4,17.919782103932842,0.036111111111111066,0,95,0,0
data/ssb_converted/explorative.xml_5,6,1000,TAP,3,6,13.486612986550245,0.03333333333333329,2,74,0,3
data/ssb_converted/explorative.xml_5,6,2000,OPT,5,5,22.329580070727914,0.0422222222222222,144,123,0,0
data/ssb_converted/explorative.xml_5,6,2000,NAIVE,6,4,17.919782103932842,0.038888888888888834,1,94,0,0
data/ssb_converted/explorative.xml_5,6,2000,TAP,3,6,13.486612986550245,0.03333333333333329,1,72,0,3
data/ssb_converted/explorative.xml_5,6,3000,OPT,4,4,17.83330883490823,0.04166666666666666,145,95,0,0
data/ssb_converted/explorative.xml_5,6,3000,NAIVE,6,4,17.919782103932842,0.036111111111111066,0,93,0,0
data/ssb_converted/explorative.xml_5,6,3000,TAP,3,6,13.428616288247085,0.03333333333333329,1,72,0,3
data/ssb_converted/explorative.xml_5,6,4000,OPT,4,4,17.84836475826803,0.04166666666666666,141,97,0,0
data/ssb_converted/explorative.xml_5,6,4000,NAIVE,6,4,17.919782103932842,0.038888888888888834,0,106,0,0
data/ssb_converted/explorative.xml_5,6,4000,TAP,6,6,26.691331842445702,0.04814814814814814,3,377,3,3
data/ssb_converted/explorative.xml_5,6,5000,OPT,6,6,26.691331842445702,0.04444444444444438,141,159,0,0
data/ssb_converted/explorative.xml_5,6,5000,NAIVE,6,4,17.919782103932842,0.036111111111111066,1,94,0,0
data/ssb_converted/explorative.xml_5,6,5000,TAP,3,6,13.428616288247085,0.03333333333333329,2,69,0,3
data/ssb_converted/explorative.xml_5,6,6000,OPT,2,2,8.987437051505442,0.0222222222222222,163,51,0,0
data/ssb_converted/explorative.xml_5,6,6000,NAIVE,6,4,17.919782103932842,0.038888888888888834,0,96,0,0
data/ssb_converted/explorative.xml_5,6,6000,TAP,3,6,13.486612986550245,0.03703703703703698,1,70,0,3
data/ssb_converted/explorative.xml_5,6,7000,OPT,6,6,26.691331842445702,0.04814814814814811,144,140,0,0
data/ssb_converted/explorative.xml_5,6,7000,NAIVE,6,4,17.919782103932842,0.038888888888888834,0,95,0,0
data/ssb_converted/explorative.xml_5,6,7000,TAP,3,6,13.486612986550245,0.03333333333333329,1,70,0,3
data/ssb_converted/explorative.xml_5,6,8000,OPT,6,6,26.691331842445702,0.04444444444444438,144,142,0,0
data/ssb_converted/explorative.xml_5,6,8000,NAIVE,6,4,17.919782103932842,0.036111111111111066,0,97,0,0
data/ssb_converted/explorative.xml_5,6,8000,TAP,3,6,13.486612986550245,0.03333333333333329,1,70,0,3
data/ssb_converted/explorative.xml_5,6,9000,OPT,5,5,22.281533875650627,0.0422222222222222,143,120,0,0
data/ssb_converted/explorative.xml_5,6,9000,NAIVE,6,4,17.919782103932842,0.036111111111111066,0,93,0,0
data/ssb_converted/explorative.xml_5,6,9000,TAP,3,6,13.486612986550245,0.03333333333333329,1,70,0,3
data/ssb_converted/explorative.xml_5,6,10000,OPT,3,3,13.342143019222474,0.03703703703703698,143,73,0,0
data/ssb_converted/explorative.xml_5,6,10000,NAIVE,6,4,17.919782103932842,0.036111111111111066,0,93,0,0
data/ssb_converted/explorative.xml_5,6,10000,TAP,3,6,13.486612986550245,0.03703703703703698,1,100,0,3
data/ssb_converted/explorative.xml_6,5,1000,OPT,2,2,10.053963875582728,0.027777777777777735,20,2926,0,0
data/ssb_converted/explorative.xml_6,5,1000,NAIVE,5,1,5.0887540000914475,0.0,0,357,0,0
data/ssb_converted/explorative.xml_6,5,1000,TAP,2,5,10.03403178119467,0.0222222222222222,0,7465,1,1
data/ssb_converted/explorative.xml_6,5,2000,OPT,4,4,19.878237496871275,0.036111111111111066,9,15429,0,0
data/ssb_converted/explorative.xml_6,5,2000,NAIVE,5,1,5.0887540000914475,0.0,0,333,0,0
data/ssb_converted/explorative.xml_6,5,2000,TAP,2,5,10.03403178119467,0.0222222222222222,0,7302,1,1
data/ssb_converted/explorative.xml_6,5,3000,OPT,5,5,24.743000431453197,0.039999999999999945,15,15929,0,0
data/ssb_converted/explorative.xml_6,5,3000,NAIVE,5,1,5.0887540000914475,0.0,0,339,0,0
data/ssb_converted/explorative.xml_6,5,3000,TAP,2,5,10.03403178119467,0.0222222222222222,0,7278,1,1
data/ssb_converted/explorative.xml_6,5,4000,OPT,3,3,14.99924165668595,0.03333333333333329,27,9572,0,0
data/ssb_converted/explorative.xml_6,5,4000,NAIVE,5,1,5.0887540000914475,0.0,0,332,0,0
data/ssb_converted/explorative.xml_6,5,4000,TAP,2,5,10.03403178119467,0.0222222222222222,1,8033,1,1
data/ssb_converted/explorative.xml_6,5,5000,OPT,4,4,19.878237496871275,0.036111111111111066,21,15539,0,0
data/ssb_converted/explorative.xml_6,5,5000,NAIVE,5,1,5.0887540000914475,0.0,0,440,0,0
data/ssb_converted/explorative.xml_6,5,5000,TAP,3,5,14.99924165668595,0.03703703703703698,1,9049,2,1
data/ssb_converted/explorative.xml_6,5,6000,OPT,3,3,14.99924165668595,0.03703703703703698,17,8375,0,0
