id,budget,algorithm,im,avgDist,optTime,execTime,candidates,nbExecuted
2-07.json,5000,NAIVE,209.79947930544873,0.6352657004830926,17,317,56,35
2-07.json,5000,TAP,330.28564564255436,1.0857487922705324,168,514,56,56
2-08.json,500,NAIVE,37.384058648180705,0.02898550724637694,9,108,56,6
2-08.json,500,TAP,68.63489718254229,0.11594202898550765,70,424,56,11
2-08.json,1000,NAIVE,68.63489718254229,0.1449275362318846,10,115,56,11
2-08.json,1000,TAP,112.66534133469706,0.2608695652173917,232,688,56,18
2-08.json,1500,NAIVE,93.75629572860022,0.21014492753623226,25,142,56,15
2-08.json,1500,TAP,200.63209115897985,0.5869565217391314,359,1158,56,32
2-08.json,2000,NAIVE,125.1720755496875,0.30917874396135303,33,199,56,20
2-08.json,2000,TAP,345.87161024093535,1.0640096618357497,510,1138,56,56
2-08.json,2500,NAIVE,156.5507427466395,0.40579710144927583,17,237,56,25
2-08.json,2500,TAP,345.87161024093535,1.068840579710146,400,556,56,56
2-08.json,3000,NAIVE,181.7490708364881,0.5120772946859908,20,267,56,29
2-08.json,3000,TAP,345.87161024093535,1.114734299516909,424,591,56,56
2-08.json,4000,NAIVE,219.43643912526102,0.6256038647343002,24,338,56,35
2-08.json,4000,TAP,345.87161024093535,1.1038647342995178,450,604,56,56
2-08.json,5000,NAIVE,219.43643912526102,0.6328502415458948,25,324,56,35
2-08.json,5000,TAP,345.87161024093535,1.1243961352657017,295,525,56,56
2-09.json,500,NAIVE,27.363794950546442,0.08695652173913049,5,114,38,4
2-09.json,500,TAP,61.46468498724698,0.17391304347826098,115,299,38,9
2-09.json,1000,NAIVE,54.8664202334613,0.17391304347826086,7,76,38,8
2-09.json,1000,TAP,130.49065692754104,0.4154589371980677,190,728,38,19
2-09.json,1500,NAIVE,82.28804089585117,0.2681159420289856,28,118,38,12
2-09.json,1500,TAP,252.1788254317473,0.7391304347826093,326,1133,38,37
2-09.json,2000,NAIVE,109.87916770692719,0.36714975845410636,23,163,38,16
2-09.json,2000,TAP,258.777090185533,0.8019323671497591,226,407,38,38
2-09.json,2500,NAIVE,137.41155124810302,0.44444444444444464,13,195,38,20
2-09.json,2500,TAP,258.777090185533,0.8140096618357493,240,412,38,38
2-09.json,3000,NAIVE,158.07552053475834,0.5024154589371984,17,230,38,23
2-09.json,3000,TAP,258.777090185533,0.8260869565217394,218,393,38,38
2-09.json,4000,NAIVE,199.39270740146188,0.6231884057971017,21,297,38,29
2-09.json,4000,TAP,258.777090185533,0.8260869565217398,237,403,38,38
2-09.json,5000,NAIVE,199.39270740146188,0.6449275362318841,20,290,38,29
2-09.json,5000,TAP,258.777090185533,0.759661835748793,186,390,38,38
3-11.json,500,NAIVE,32.63219166802937,0.07004830917874416,5,326,35,5
3-11.json,500,TAP,39.21761993731851,0.11111111111111127,36,391,35,6
3-11.json,1000,NAIVE,65.52797074116131,0.23429951690821282,12,536,35,10
3-11.json,1000,TAP,52.69746626550376,0.15217391304347838,89,820,35,8
3-11.json,1500,NAIVE,91.9485047584832,0.29710144927536264,21,315,35,14
3-11.json,1500,TAP,164.66256917094722,0.5772946859903386,158,1396,35,25
3-11.json,2000,NAIVE,125.03451781256713,0.41304347826086996,24,79,35,19
3-11.json,2000,TAP,228.85113328200913,0.6352657004830929,117,567,35,35
3-11.json,2500,NAIVE,151.58436519175606,0.4710144927536237,20,92,35,23
3-11.json,2500,TAP,228.85113328200913,0.6038647342995179,77,123,35,35
3-11.json,3000,NAIVE,177.9868501558313,0.5772946859903384,9,94,35,27
3-11.json,3000,TAP,228.85113328200913,0.6594202898550731,71,120,35,35
3-11.json,4000,NAIVE,184.6002767900891,0.591787439613527,9,102,35,28
3-11.json,4000,TAP,228.85113328200913,0.6521739130434793,62,120,35,35
3-11.json,5000,NAIVE,184.6002767900891,0.5652173913043486,9,100,35,28
3-11.json,5000,TAP,228.85113328200913,0.6376811594202909,68,128,35,35
3-13.json,500,NAIVE,26.34844548348056,0.024154589371980784,4,126,35,4
3-13.json,500,TAP,39.63660565981774,0.09661835748792291,64,371,35,6
3-13.json,1000,NAIVE,52.83489250860421,0.17149758454106312,7,347,35,8
3-13.json,1000,TAP,86.1984942724422,0.27536231884057993,111,858,35,13
3-13.json,1500,NAIVE,79.44727211004698,0.23913043478260887,25,235,35,12
3-13.json,1500,TAP,146.17277165354753,0.5024154589371986,215,1196,35,22
3-13.json,2000,NAIVE,106.10938317807928,0.3550724637681162,14,84,35,16
3-13.json,2000,TAP,231.01073088732377,0.6086956521739137,185,1087,35,35
3-13.json,2500,NAIVE,132.83842291834299,0.43478260869565255,22,97,35,20
3-13.json,2500,TAP,231.01073088732377,0.652173913043479,128,145,35,35
3-13.json,3000,NAIVE,159.61908299787888,0.5362318840579711,11,108,35,24
3-13.json,3000,TAP,231.01073088732377,0.6352657004830925,115,144,35,35
3-13.json,4000,NAIVE,186.28220648173485,0.603864734299517,13,115,35,28
3-13.json,4000,TAP,231.01073088732377,0.6594202898550735,106,162,35,35
3-13.json,5000,NAIVE,186.28220648173485,0.5990338164251213,15,113,35,28
3-13.json,5000,TAP,231.01073088732377,0.6376811594202907,103,159,35,35
3-14.json,500,NAIVE,40.598763530510155,0.10144927536231896,2,406,29,6
3-14.json,500,TAP,60.977370830453054,0.18840579710144945,26,486,29,9
3-14.json,1000,NAIVE,81.32156504324469,0.21014492753623204,13,207,29,12
3-14.json,1000,TAP,149.11068464350325,0.42512077294686046,82,854,29,22
3-14.json,1500,NAIVE,122.05614267919933,0.34782608695652195,18,56,29,18
3-14.json,1500,TAP,196.1312614093169,0.5797101449275369,79,428,29,29
